train_idx,client_ID,gender,age,martial_status,location,products_count,monthly_count,mean_spending,label
0,c-222462011894,M,55-59,Divorced,City,56,2,46.09,4
1,c-886772140485,F,75-79,Divorced,City,27,5,10.87,4
2,c-339575700373,M,75-79,Single,City,79,9,23.97,3
3,c-430835412706,F,50-54,Divorced,City,72,6,28.03,4
4,c-703706110647,F,80-84,Married,Town,120,8,35.1,4
5,c-314814316308,Other,45-49,Married,City,173,1,148.48,2
6,c-703706110647,F,55-59,Single,City,77,8,17.63,4
7,c-613901442544,F,55-59,Divorced,City,271,7,106.11,2
8,c-341030744603,F,80-84,Married,Town,155,9,26.62,4
9,c-603459178291,F,55-59,Single,City,29,11,6.29,4
10,c-877784920462,M,55-59,Divorced,City,334,5,103.93,2
11,c-714148374900,F,45-49,Divorced,Town,10,10,1.76,3
12,c-430835412706,F,60-64,Widowed,City,8,6,2.7,4
13,c-150655618403,M,30-34,Married,City,278,3,145.5,4
14,c-542627206554,F,35-39,Married,City,327,3,125.6,2
15,c-439822632729,M,75-79,Married,City,236,6,63.32,2
16,c-439822632729,M,70-74,Married,City,187,6,58.91,2
17,c-886772140485,F,60-64,Married,City,178,5,51.68,2
18,c-213474791871,F,60-64,Married,City,64,2,84.57,2
19,c-774980346637,F,40-44,Married,City,337,4,123.97,2
20,c-213474791871,F,15-19,Single,City,13,2,6.96,4
21,c-906757616828,M,40-44,Married,City,286,4,119.22,2
22,c-150655618403,M,35-39,Single,City,173,3,163.99,4
23,c-613901442544,F,55-59,Widowed,City,93,7,22.71,4
24,c-439822632729,M,45-49,Married,City,99,6,59.21,1
25,c-117858364461,Other,50-54,Married,City,447,23,39.87,4
26,c-150655618403,M,15-19,Single,City,27,3,13.6,4
27,c-222462011894,M,25-29,Single,Town,37,2,20.14,4
28,c-906757616828,M,35-39,Married,Town,224,4,101.96,2
29,c-705161154877,M,45-49,Single,City,39,10,9.24,3
30,c-314814316308,Other,40-44,Married,City,101,1,133.02,2
31,c-774980346637,F,40-44,Divorced,City,49,4,33.08,4
32,c-613901442544,F,50-54,Married,Town,238,7,71.32,2
33,c-341030744603,F,60-64,Married,City,206,9,32.42,4
34,c-815497904495,F,70-74,Widowed,City,13,1,28.38,4
35,c-906757616828,M,40-44,Divorced,City,35,4,43.83,1
36,c-542627206554,F,50-54,Married,City,186,3,143.81,2
37,c-705161154877,M,45-49,Married,City,280,10,36.15,4
38,c-542627206554,F,55-59,Married,City,279,3,137.58,2
39,c-213474791871,F,60-64,Married,Town,81,2,90.04,2
40,c-774980346637,F,60-64,Married,City,220,4,121.7,2
41,c-856706852038,Other,65-69,Married,City,302,8,58.9,2
42,c-970669382377,Other,70-74,Married,City,139,3,111.11,2
43,c-886772140485,F,30-34,Single,City,63,5,16.68,4
44,c-806510684472,M,80-84,Married,City,92,1,75.15,2
45,c-222462011894,M,45-49,Single,Town,11,2,32.77,1
46,c-512561918107,Other,50-54,Married,City,305,6,88.21,2
47,c-705161154877,M,45-49,Married,City,168,10,36.98,4
48,c-774980346637,F,55-59,Married,City,186,4,162.16,1
49,c-439822632729,M,45-49,Married,City,224,6,81.44,2
50,c-430835412706,F,45-49,Married,City,353,6,87.73,2
51,c-213474791871,F,15-19,Single,Town,9,2,12.77,0
52,c-815497904495,F,65-69,Married,City,13,1,90.63,1
53,c-430835412706,F,65-69,Married,Town,112,6,54.01,2
54,c-774980346637,F,50-54,Divorced,City,96,4,47.03,4
55,c-542627206554,F,20-24,Single,City,36,3,20.45,4
56,c-876329876232,F,55-59,Single,Town,106,13,19.31,3
57,c-815497904495,F,15-19,Single,Town,12,1,13.54,4
58,c-150655618403,M,60-64,Divorced,Town,249,3,147.35,2
59,c-815497904495,F,85-89,Married,Town,18,1,84.86,1
60,c-314814316308,Other,15-19,Single,Town,10,1,17.63,4
61,c-222462011894,M,35-39,Single,Town,85,2,158.62,4
62,c-978031852818,M,60-64,Married,City,364,8,66.87,2
63,c-806510684472,M,35-39,Single,City,12,1,38.35,4
64,c-684083086453,Other,65-69,Married,City,123,13,17.79,4
65,c-339575700373,M,65-69,Divorced,City,58,9,12.99,3
66,c-906757616828,M,35-39,Single,Town,591,4,182.6,4
67,c-970669382377,Other,25-29,Single,City,34,3,22.42,4
68,c-430835412706,F,50-54,Divorced,City,58,6,14.3,4
69,c-222462011894,M,45-49,Married,City,93,2,132.27,2
70,c-542627206554,F,20-24,Single,City,52,3,21.0,4
71,c-339575700373,M,45-49,Married,City,149,9,35.26,4
72,c-806510684472,M,30-34,Single,City,42,1,35.13,4
73,c-785422610890,F,65-69,Divorced,City,258,14,33.04,4
74,c-970669382377,Other,85-89,Married,City,155,3,72.77,2
75,c-815497904495,F,40-44,Widowed,City,36,1,32.16,4
76,c-806510684472,M,15-19,Single,City,6,1,12.04,0
77,c-633534471896,F,85-89,Widowed,City,104,24,8.87,4
